model,cv_macro_f1,cv_macro_f1_std,holdout_macro_f1,holdout_accuracy,holdout_min_class_recall,trees,feature_count
AdaBoost_XY_FFT512,0.9168742009512162,0.009981676029960815,0.9080891913550797,0.9085213032581454,0.7169811320754716,50,16
XGBoost_YZ_FFT512_reference,0.9550943421920988,0.018551269238381258,0.9098909740475772,0.9110275689223057,0.6918238993710691,375,16
