condition,macro_f1,accuracy,min_class_recall
clean,0.9098909740475772,0.9110275689223057,0.6918238993710691
gaussian_1pct,0.9097641077202768,0.9110275689223057,0.6918238993710691
gaussian_3pct,0.9096096614082937,0.9110275689223057,0.6855345911949685
gaussian_5pct,0.9064248667619914,0.9072681704260651,0.6981132075471698
gain_plus_5pct,0.9068476297975646,0.9085213032581454,0.7169811320754716
gain_minus_5pct,0.8887456048990204,0.8897243107769424,0.6352201257861635
dc_offset_2pct_std,0.9080431739017459,0.9110275689223057,0.6477987421383647
