feature_replaced_by_train_median,macro_f1,accuracy
y_mean,0.5607461664851254,0.6177944862155389
y_spec_centroid,0.5288386310099976,0.5989974937343359
y_ptp,0.903637501580406,0.9035087719298246
y_rms,0.8740127218083898,0.8734335839598998
y_std,0.9053193643907029,0.9047619047619048
x_mean,0.827054166080788,0.8308270676691729
y_skew,0.8657140093924461,0.8634085213032582
x_skew,0.8822700947700948,0.8834586466165414
