model,cv_macro_f1_mean,cv_macro_f1_std,cv_accuracy_mean,holdout_macro_f1,holdout_accuracy
XGBoost,0.9609675593591656,0.0175023045290841,0.9612132352941176,0.9254922260603253,0.9260651629072681
AdaBoost,0.9284216312454767,0.026962515777456113,0.9277460106382979,0.9048954847444304,0.9047619047619048
DecisionTree,0.883909414088627,0.02658421678809857,0.8845748591989987,0.8132155984723848,0.8145363408521303
