seed,macro_f1,accuracy
42,0.9137514119720038,0.9147869674185464
123,0.9147873315697579,0.9160401002506265
777,0.9119450226541156,0.9135338345864662
2026,0.908329745453018,0.9097744360902256
3407,0.9147873315697579,0.9160401002506265
