condition,macro_f1,accuracy,min_class_recall
clean,0.9080891913550797,0.9085213032581454,0.7169811320754716
gaussian_1pct,0.9081775546024312,0.9085213032581454,0.7169811320754716
gaussian_3pct,0.9084563464656747,0.9085213032581454,0.7295597484276729
gaussian_5pct,0.9085600840999725,0.9085213032581454,0.7358490566037735
gain_plus_5pct,0.8898357943916217,0.8922305764411027,0.6540880503144654
gain_minus_5pct,0.8766879139357344,0.8771929824561403,0.6352201257861635
dc_offset_2pct_std,0.8838222038722954,0.8822055137844611,0.779874213836478
