stress,level,macro_f1,accuracy,repetition
none,0.0,0.901547677573582,0.9010025062656641,
feature_gaussian_noise,0.01,0.902917056038173,0.9022556390977443,0.0
feature_gaussian_noise,0.01,0.9039652818154409,0.9035087719298246,1.0
feature_gaussian_noise,0.01,0.902900522767054,0.9022556390977443,2.0
feature_gaussian_noise,0.01,0.9054252193871839,0.9047619047619048,3.0
feature_gaussian_noise,0.01,0.8979962908584334,0.8972431077694235,4.0
feature_gaussian_noise,0.03,0.9039685711836801,0.9035087719298246,0.0
feature_gaussian_noise,0.03,0.8955259181162146,0.8947368421052632,1.0
feature_gaussian_noise,0.03,0.8991258222674725,0.8984962406015038,2.0
feature_gaussian_noise,0.03,0.9013920003887292,0.9010025062656641,3.0
feature_gaussian_noise,0.03,0.8929799061428454,0.8922305764411027,4.0
feature_gaussian_noise,0.05,0.8980008509632599,0.8972431077694235,0.0
feature_gaussian_noise,0.05,0.900138632578137,0.899749373433584,1.0
feature_gaussian_noise,0.05,0.8962507557782391,0.8959899749373433,2.0
feature_gaussian_noise,0.05,0.8825870148019368,0.8822055137844611,3.0
feature_gaussian_noise,0.05,0.896601934580597,0.8959899749373433,4.0
