x_mean,x_std,x_rms,x_ptp,x_crest,x_skew,x_kurtosis,x_spec_centroid,y_mean,y_std,y_rms,y_ptp,y_crest,y_skew,y_kurtosis,y_spec_centroid,label,class_name,expected_prediction
0.039950236,0.3138062758497504,0.3160276117076164,1.478462,2.538572486325141,0.0076906450212238,-0.5419943051036906,172.03105664336374,-0.023963054,0.1898499665386553,0.1911678627074801,1.03662,2.9492614083504054,-0.0853554437134901,-0.1801574369681895,224.37799202772257,0,Healthy,0
0.043552952,0.3341816425045034,0.3366762169719566,1.690885,2.5384567038520185,-0.0800114275648789,-0.4367990331329991,171.56335002761764,-0.02272251,0.1958608712459135,0.1969798730432579,1.096098,3.0347872133551506,-0.0574611774598616,-0.2530280374522879,215.72386721904476,0,Healthy,0
0.03473315,0.3243557639305913,0.3258874652095873,1.6484,2.857151929428084,-0.2149009545897593,-0.4755371928090808,174.76599657390108,-0.022994412,0.1981037503476344,0.1992369159900343,0.985638,2.6592260644433026,0.0165961716138638,-0.5006362900109109,215.95153933584027,0,Healthy,0
0.041241762,0.3327545111534979,0.3349701426940646,1.495456,2.4964822036803507,0.0787853231192594,-0.842763562604735,173.36879913861745,-0.01961263,0.1911644300062758,0.1919776207700835,0.92616,2.49422301453284,-0.0417268144392064,-0.50416764074664,223.2927543022878,0,Healthy,0
0.032172376,0.3731798147151159,0.374192075731264,1.724872,2.3347153952758264,-0.1871844922197736,-0.7639973883298761,167.500098237908,0.0511302239999999,0.2918045698927733,0.2959626783947192,1.274533,2.5179086905212182,0.2541330597404459,-0.7869409471803595,200.98278498522205,1,Damaged Bottom Right Blade,1
0.016028232,0.3894872495119075,0.3894275556741356,1.7333690000000002,2.2870133020203025,-0.0340323812514211,-0.8404985149834485,161.04909622172616,0.036294676,0.3238606600362465,0.3255660596112869,2.090234,3.6876694131859,-0.1302924971564375,0.1248215787537789,230.25717616418245,1,Damaged Bottom Right Blade,1
0.0348913339999999,0.2712780637640455,0.273243498535848,1.342511,2.4933877792177985,0.0313442192155405,-0.2979427922148292,172.38647485443144,0.051470088,0.1949715097703881,0.201462234182062,0.985639,2.5602366721192924,0.0418919501931757,-0.5645493299901796,241.2448938366812,1,Damaged Bottom Right Blade,1
0.034466508,0.3397863129138976,0.3411916897294657,1.486959,2.3363992265816207,-0.1632248338637847,-0.8778361443310088,170.1745423852723,0.052404768,0.2612599681858265,0.266207657935755,1.249042,2.735507331557466,0.1522583801571946,-0.5975485448731543,204.1739599488702,1,Damaged Bottom Right Blade,1
0.02568071,0.2800076636588815,0.2809038661008317,1.639903,3.1211069187822904,-0.0167741398692045,-0.3336967089616802,179.73419793334335,-0.0261058,0.2832831197920452,0.2842012317018277,2.23468,4.148493632275899,-0.0198779896180093,1.1642361528137792,233.3237604677317,2,Damaged Top Right Blade,2
0.03072785,0.31772097873084,0.3188870142396112,1.546437,2.4828919480712104,0.0652945216751649,-0.6590872708208297,176.78615417517494,-0.022690052,0.2275285149388045,0.228430569582532,1.189563,2.612789527648405,0.0324401255239418,-0.1456614029537819,246.1544971097592,2,Damaged Top Right Blade,2
0.03217234,0.3005207527249876,0.3019389952189548,1.580425,2.819244991468269,0.0162143094523381,-0.2077699031667652,174.6597665505285,-0.025222106,0.235481585282708,0.2365942274957654,1.198061,2.9895108071166243,-0.1812216517816883,-0.5289001689307713,241.64071707727345,2,Damaged Top Right Blade,2
0.0328350939999999,0.2922747983887004,0.2938228242591069,1.5549339999999998,2.713063568189742,-0.0544034777007983,-0.3168974376676079,178.97505919501836,-0.033260166,0.3095426020585483,0.3110164431128135,2.438606,4.37777818552869,-0.2088994465042363,2.20682677273026,219.91483338781455,2,Damaged Top Right Blade,2
0.0455974579999999,0.3675783385531351,0.3700307223455885,1.682388,2.315045611807192,-0.0657746909203819,-0.7268350204661229,170.89276748709355,-0.0162919459999999,0.218244025023183,0.2186335314032822,1.240545,2.990296116994363,-0.1037033031132443,0.0039093169413426,336.9939454890374,3,Unbalanced Bottom Right Blade,3
0.044764764,0.3625869386986161,0.3649797715416294,1.673891,2.393644985610809,-0.1647624088134922,-0.4493009076966219,169.98225860091995,-0.0141337399999999,0.204746856643826,0.2050297426260492,1.130086,3.022937023973295,-0.2310791629797576,-0.3114755410353829,313.8452565335975,3,Unbalanced Bottom Right Blade,3
0.040686258,0.3147931644791752,0.3170992250385516,1.597419,2.728278506183105,-0.2353240250542341,-0.2410629225695242,173.44895635446036,-0.012604296,0.2113538664379929,0.2115182834230365,1.06211,2.809690918356207,-0.0957891519801464,-0.3343521446110769,303.799180883159,3,Unbalanced Bottom Right Blade,3
0.047500782,0.292847565469035,0.2963857309293921,1.469966,2.499381456985445,-0.0999637623207822,-0.5082746964771232,171.3142076010761,-0.0103781239999999,0.2161275126857292,0.2161605537418888,1.113092,2.7493499147380884,-0.0489343862766715,-0.2150774357072582,283.4533345698638,3,Unbalanced Bottom Right Blade,3
0.03442079,0.3523979951616891,0.3537241426369057,1.73337,2.544983198741028,0.0265468267293603,-0.3213985991859811,169.04621203351064,-0.020093088,0.1931683229483904,0.1940183114401524,1.002632,2.6742836598701625,0.0726126101660164,-0.2645581574246169,202.5545868200107,4,Unbalanced Top Right Blade,4
0.033044302,0.344425800671243,0.3456642877104287,1.690884,2.702648301298077,0.0626111479608248,-0.8043541881422547,171.01042937578558,-0.0208578,0.207223561322796,0.2080643385575913,1.045116,2.651809549993012,0.1053875945056597,-0.4813117053448805,200.08100097254905,4,Unbalanced Top Right Blade,4
0.037666634,0.3443198656207425,0.3460315489059545,1.818338,2.7243354051980138,-0.0096653014866407,-0.5375768564256376,170.76743022811996,-0.022421224,0.2104641446740241,0.2114456837266724,1.019626,2.4486666782438937,0.0810394404237994,-0.5242400208023561,198.75901270711844,4,Unbalanced Top Right Blade,4
0.0390601259999999,0.3548441094769181,0.356634556359226,1.639904,2.3336128963389218,-0.0048305131256335,-0.9453392025098388,171.72730812281586,-0.018937522,0.2165909986087653,0.2172014435874817,1.053613,2.7409210093956835,0.0743503727344477,-0.6388517837439998,201.68984408183556,4,Unbalanced Top Right Blade,4
