test_domain,macro_f1,accuracy,min_class_recall
0,0.9490416359981577,0.95,0.825
1,0.9686669923947566,0.9687108886107635,0.9
2,0.9363075651377979,0.9361702127659575,0.8427672955974843
3,0.9602129353241475,0.9599499374217773,0.9245283018867925
4,0.9137514119720038,0.9147869674185464,0.7044025157232704
