test_domain,macro_f1,accuracy,min_class_recall
0,0.9345746355204569,0.935,0.84375
1,0.9118020294110739,0.9123904881101377,0.68125
2,0.9218067420504887,0.9211514392991239,0.85625
3,0.9254803614235663,0.9249061326658323,0.8364779874213837
4,0.901547677573582,0.9010025062656641,0.8176100628930818
